# Thermal History - 10 Monitoring Points
# Columns: time(s)  T1..T10 (K)
# Point physical coordinates:
#  P 1:  x= 4.000E-04m  y= 1.000E-03m  z= 6.950E-04m
#  P 2:  x= 1.000E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 3:  x= 1.600E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 4:  x= 1.000E-03m  y= 1.000E-03m  z= 6.600E-04m
#  P 5:  x= 1.000E-03m  y= 1.000E-03m  z= 6.000E-04m
#  P 6:  x= 1.000E-03m  y= 1.050E-03m  z= 6.950E-04m
#  P 7:  x= 1.000E-03m  y= 1.200E-03m  z= 6.950E-04m
#  P 8:  x= 1.000E-03m  y= 1.500E-03m  z= 6.950E-04m
#  P 9:  x= 1.000E-03m  y= 1.800E-03m  z= 6.950E-04m
#  P10:  x= 1.000E-03m  y= 1.000E-03m  z= 2.000E-04m
#  time(s)    T 1(K)       T 2(K)       T 3(K)       T 4(K)       T 5(K)       T 6(K)       T 7(K)       T 8(K)       T 9(K)       T10(K)       
 2.10000E-05     293.000     293.000     293.000     293.000     292.999     293.000     293.000     293.000     293.000     293.000
 4.10000E-05     293.000     292.999     293.000     292.991     292.991     292.999     292.999     292.999     292.999     293.000
 6.10000E-05     293.000     292.998     293.000     292.987     292.987     292.998     292.998     292.998     292.998     293.000
 8.10000E-05     293.000     292.998     293.000     292.990     292.991     292.998     292.998     292.998     292.998     293.000
 1.01000E-04     293.000     292.998     293.000     292.992     292.993     292.998     292.998     292.998     292.998     293.000
 1.21000E-04     293.000     292.998     293.000     292.990     292.990     292.998     292.998     292.998     292.998     293.000
 1.41000E-04     293.000     292.998     293.000     292.987     292.986     292.998     292.998     292.998     292.998     293.000
 1.61000E-04     293.000     292.997     293.000     292.984     292.983     292.997     292.997     292.997     292.997     292.999
 1.81000E-04     293.000     292.997     293.000     292.980     292.979     292.997     292.997     292.997     292.997     292.999
 2.01000E-04     293.000     292.996     293.000     292.979     292.977     292.997     292.996     292.997     292.996     292.999
 2.21000E-04     293.000     292.996     293.000     292.977     292.975     292.996     292.996     292.996     292.996     292.999
 2.41000E-04     293.000     292.996     293.000     292.976     292.973     292.996     292.996     292.996     292.996     292.999
 2.61000E-04     293.000     292.995     293.000     292.974     292.971     292.996     292.996     292.996     292.996     292.999
 2.81000E-04     293.000     292.995     293.000     292.973     292.970     292.995     292.995     292.995     292.995     292.999
 3.01000E-04     293.000     292.995     293.000     292.972     292.968     292.995     292.995     292.995     292.995     292.999
 3.21000E-04     293.000     292.995     293.000     292.971     292.967     292.995     292.995     292.995     292.995     292.999
 3.41000E-04     293.000     292.994     293.000     292.969     292.965     292.994     292.994     292.994     292.994     292.999
 3.61000E-04     293.000     292.994     293.000     292.968     292.964     292.994     292.994     292.994     292.994     292.999
 3.81000E-04     293.000     292.994     293.000     292.967     292.963     292.994     292.994     292.994     292.994     292.999
 4.01000E-04     293.000     292.993     293.000     292.966     292.962     292.993     292.993     292.993     292.993     292.999
 4.21000E-04     293.000     292.993     293.000     292.965     292.960     292.993     292.993     292.993     292.993     292.999
 4.41000E-04     293.000     292.993     293.000     292.964     292.959     292.993     292.992     292.993     292.993     292.999
 4.61000E-04     293.000     292.992     293.000     292.963     292.958     292.992     292.992     292.992     292.992     292.999
 4.81000E-04     293.000     292.992     293.000     292.962     292.957     292.992     292.992     292.992     292.992     292.999
 5.01000E-04     293.000     292.991     293.000     292.961     292.956     292.991     292.991     292.991     292.991     292.999
 5.21000E-04     293.000     292.991     293.000     292.959     292.954     292.991     292.991     292.991     292.991     292.999
 5.41000E-04     293.000     292.990     293.000     292.957     292.952     292.990     292.990     292.990     292.990     292.999
 5.61000E-04     293.000     292.990     293.000     292.955     292.950     292.990     292.990     292.990     292.990     292.999
 5.81000E-04     293.000     292.989     293.000     292.953     292.947     292.989     292.989     292.989     292.989     292.999
 6.01000E-04     293.000     292.988     293.000     292.951     292.945     292.989     292.989     292.989     292.989     292.999
 6.21000E-04     293.000     292.988     293.000     292.952     292.946     292.988     292.988     292.988     292.988     292.999
 6.41000E-04     293.000     292.988     293.000     292.952     292.946     292.988     292.988     292.988     292.988     292.999
 6.61000E-04     293.000     292.987     293.000     292.952     292.947     292.987     292.987     292.987     292.988     292.999
 6.81000E-04     293.000     292.987     293.000     292.952     292.947     292.987     292.987     292.987     292.987     292.999
 7.01000E-04     293.000     292.986     293.000     292.950     292.945     292.986     292.986     292.986     292.987     292.999
 7.21000E-04     293.000     292.983     293.000     292.934     292.928     292.983     292.983     292.984     292.984     292.999
 7.41000E-04     293.000     292.983     293.000     292.937     292.931     292.983     292.983     292.983     292.984     292.999
 7.61000E-04     293.000     292.983     293.000     292.938     292.931     292.983     292.983     292.983     292.983     292.999
 7.81000E-04     293.000     292.982     293.000     292.938     292.932     292.983     292.983     292.983     292.983     292.999
 8.01000E-04     293.000     292.982     293.000     292.939     292.932     292.982     292.982     292.983     292.983     292.999
 8.21000E-04     293.000     292.982     293.000     292.939     292.933     292.982     292.982     292.982     292.982     292.999
 8.41000E-04     293.000     292.981     293.000     292.938     292.932     292.981     292.981     292.981     292.982     292.999
 8.61000E-04     293.000     292.980     293.000     292.937     292.931     292.981     292.981     292.981     292.981     292.999
 8.81000E-04     293.000     292.980     293.000     292.937     292.931     292.980     292.980     292.980     292.980     292.999
 9.01000E-04     293.000     292.979     293.000     292.936     292.930     292.979     292.979     292.979     292.980     292.999
 9.21000E-04     293.000     292.979     293.000     292.935     292.930     292.979     292.979     292.979     292.979     292.999
 9.41000E-04     293.000     292.978     293.000     292.935     292.929     292.978     292.978     292.978     292.979     292.999
 9.61000E-04     293.000     292.977     293.000     292.934     292.928     292.977     292.978     292.978     292.978     292.999
 9.81000E-04     293.000     292.977     293.000     292.934     292.928     292.977     292.977     292.977     292.977     292.999
 1.00100E-03     293.000     292.976     293.000     292.933     292.928     292.976     292.976     292.976     292.977     292.999
 1.02100E-03     293.000     292.975     293.000     292.933     292.927     292.975     292.976     292.976     292.976     292.999
 1.04100E-03     293.000     292.975     293.000     292.932     292.927     292.975     292.975     292.975     292.976     292.999
 1.06100E-03     293.000     292.974     293.000     292.932     292.927     292.974     292.974     292.975     292.975     292.999
 1.08100E-03     293.000     292.973     293.000     292.932     292.927     292.974     292.974     292.974     292.974     292.999
 1.10100E-03     293.000     292.973     293.000     292.931     292.926     292.973     292.973     292.973     292.974     292.999
 1.12100E-03     293.000     292.972     293.000     292.931     292.926     292.972     292.973     292.973     292.973     292.999
